tfclass:id	tfclass:superclass	tfclass:class	tfclass:family	tfclass:subfamily	curated:uniprot_ac	tfclass:source	curated:uniprot_id	auto:protein_name	auto:gene_symbol	auto:gene_synonyms	auto:hgnc	auto:mgi	auto:entrez	GRECO_dbTF
0.0.0.0.256	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q9UBB5	manual	MBD2_HUMAN	Methyl-CpG-binding domain protein 2	MBD2		6917;		8932;	no
0.0.0.0.256	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q9Z2E1	manual	MBD2_MOUSE	Methyl-CpG-binding domain protein 2	Mbd2			1333813;	17191;	no
0.0.0.0.257	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	O95983	manual	MBD3_HUMAN	Methyl-CpG-binding domain protein 3	MBD3		6918;		53615;	no
0.0.0.0.257	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q9Z2D8	manual	MBD3_MOUSE	Methyl-CpG-binding domain protein 3	Mbd3			1333812;	17192;	no
0.0.0.0.258	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	O95243	manual	MBD4_HUMAN	Methyl-CpG-binding domain protein 4	MBD4		6919;		8930;	no
0.0.0.0.258	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q9Z2D7	manual	MBD4_MOUSE	Methyl-CpG-binding domain protein 4	Mbd4			1333850;	17193;	no
0.0.0.0.259	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q9P267	manual	MBD5_HUMAN	Methyl-CpG-binding domain protein 5	MBD5		20444;		55777;	no
0.0.0.0.259	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	B1AYB6	manual	MBD5_MOUSE	Methyl-CpG-binding domain protein 5	Mbd5			2138934;	109241;	no
0.0.0.0.260	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q96DN6	manual	MBD6_HUMAN	Methyl-CpG-binding domain protein 6	MBD6		20445;		114785;	no
0.0.0.0.260	Yet undefined DNA-binding domains	Uncharacterized	MBD factors	CpG-binding	Q3TY92	manual	MBD6_MOUSE	Methyl-CpG-binding domain protein 6	Mbd6			106378;	836057;	no
0.0.1.0.1	Yet undefined DNA-binding domains	Uncharacterized	NULP1		Q9BQ70	http://tfclass.bioinf.med.uni-goettingen.de/	TCF25_HUMAN	Transcription factor 25 (TCF-25) (Nuclear localized protein 1)	TCF25	KIAA1049 NULP1	29181;		22980;	no
0.0.1.0.1	Yet undefined DNA-binding domains	Uncharacterized	NULP1		Q8R3L2	http://tfclass.bioinf.med.uni-goettingen.de/	TCF25_MOUSE	Transcription factor 25 (TCF-25) (Nuclear localized protein 1)	Tcf25	D8Ertd325e Nulp1		1914105;	66855;	no
0.0.2.0.1	Yet undefined DNA-binding domains	Uncharacterized	PHF5		Q7RTV0	http://tfclass.bioinf.med.uni-goettingen.de/	PHF5A_HUMAN	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	PHF5A		18000;		84844;	no
0.0.2.0.1	Yet undefined DNA-binding domains	Uncharacterized	PHF5		P83870	http://tfclass.bioinf.med.uni-goettingen.de/	PHF5A_MOUSE	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	Phf5a			2156864;	68479;	no
0.0.3.0.1	Yet undefined DNA-binding domains	Uncharacterized	RFXANK		O14593	http://tfclass.bioinf.med.uni-goettingen.de/	RFXK_HUMAN	DNA-binding protein RFXANK (Ankyrin repeat family A protein 1) (Regulatory factor X subunit B) (RFX-B) (Regulatory factor X-associated ankyrin-containing protein)	RFXANK	ANKRA1 RFXB	9987;		8625;	no
0.0.3.0.1	Yet undefined DNA-binding domains	Uncharacterized	RFXANK		Q9Z205	http://tfclass.bioinf.med.uni-goettingen.de/	RFXK_MOUSE	DNA-binding protein RFXANK (Ankyrin repeat-containing adapter protein Tvl-1) (Regulatory factor X subunit B) (RFX-B) (Regulatory factor X-associated ankyrin-containing protein)	Rfxank	Rfxb Tvl1		1333865;	19727;	no
0.0.4.0.1	Yet undefined DNA-binding domains	Uncharacterized	RFXAP		O00287	http://tfclass.bioinf.med.uni-goettingen.de/	RFXAP_HUMAN	Regulatory factor X-associated protein (RFX-associated protein) (RFX DNA-binding complex 36 kDa subunit)	RFXAP		9988;		5994;	no
0.0.4.0.1	Yet undefined DNA-binding domains	Uncharacterized	RFXAP		Q8VCG9	http://tfclass.bioinf.med.uni-goettingen.de/	RFXAP_MOUSE	Regulatory factor X-associated protein (RFX-associated protein)	Rfxap			2180854;	170767;	no
0.0.5.0.1	Yet undefined DNA-binding domains	Uncharacterized	PUR		Q00577	http://tfclass.bioinf.med.uni-goettingen.de/	PURA_HUMAN	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	PURA	PUR1	9701;		5813;	yes
0.0.5.0.1	Yet undefined DNA-binding domains	Uncharacterized	PUR		P42669	http://tfclass.bioinf.med.uni-goettingen.de/	PURA_MOUSE	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	Pura			103079;	19290;	yes
